epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,314.598,1.11417,2.77363,1.30732,0.90558,0.30213,0.4526,0.25625,1.35666,3.74864,1.41385,0.00051677,0.00051677,0.00051677
2,596.16,1.11053,1.94741,1.25957,1,0.04207,0.39146,0.23146,1.57376,3.86605,1.50448,0.000998225,0.000998225,0.000998225
3,892.233,1.14254,1.74463,1.26638,0.63288,0.55656,0.6014,0.35242,1.45205,2.78696,1.67224,0.00142687,0.00142687,0.00142687
4,1187.09,1.14125,1.63369,1.29625,0.69685,0.62205,0.68459,0.38874,1.46941,2.39631,1.61483,0.00141945,0.00141945,0.00141945
5,1480.84,1.05842,1.43681,1.23324,0.81727,0.63391,0.7244,0.43667,1.33982,2.00293,1.41582,0.00133693,0.00133693,0.00133693
6,1773.75,1.08501,1.31458,1.23415,0.82851,0.68473,0.80621,0.5179,1.26776,1.66722,1.35695,0.00125442,0.00125442,0.00125442
7,2071.09,1.03932,1.198,1.20814,0.87133,0.74653,0.86024,0.55611,1.24398,1.37438,1.34985,0.0011719,0.0011719,0.0011719
8,2366.19,1.03309,1.15576,1.2304,0.84936,0.71036,0.8009,0.50156,1.31216,1.37102,1.37389,0.00108938,0.00108938,0.00108938
9,2662.02,0.99019,1.07091,1.1852,0.82867,0.75591,0.81999,0.543,1.22513,1.31417,1.34868,0.00100687,0.00100687,0.00100687
10,2959.31,0.97687,1.05907,1.17436,0.94999,0.74783,0.89024,0.5883,1.28297,1.09414,1.36977,0.000924352,0.000924352,0.000924352
11,3255.13,0.85191,0.97047,1.08147,0.94938,0.8189,0.90858,0.61107,1.19314,0.99923,1.31411,0.000841835,0.000841835,0.000841835
12,3550.51,0.87166,0.93074,1.10292,0.96537,0.8189,0.90264,0.59454,1.17574,0.96263,1.32585,0.000759318,0.000759318,0.000759318
13,3846.27,0.80078,0.83029,1.04904,0.92999,0.85827,0.90908,0.61214,1.18338,0.90769,1.31151,0.000676802,0.000676802,0.000676802
14,4140.89,0.78256,0.78341,1.04115,0.87872,0.84252,0.91525,0.60736,1.19041,0.8813,1.28142,0.000594286,0.000594286,0.000594286
15,4436.8,0.79073,0.75655,1.0476,0.91208,0.90551,0.93944,0.62694,1.16999,0.79922,1.30329,0.000511769,0.000511769,0.000511769
16,4730.11,0.75514,0.72611,1.01471,0.94465,0.80629,0.91563,0.62871,1.14019,0.8248,1.26506,0.000429253,0.000429253,0.000429253
17,5023.39,0.73914,0.70866,1.01944,0.90346,0.89764,0.93083,0.64428,1.08495,0.76357,1.23998,0.000346736,0.000346736,0.000346736
18,5317.25,0.72471,0.64159,1.0008,0.88304,0.91339,0.93994,0.64068,1.09712,0.72584,1.25957,0.00026422,0.00026422,0.00026422
19,5610.84,0.67558,0.59996,0.97913,0.95119,0.88976,0.94925,0.6518,1.09279,0.73634,1.23697,0.000181703,0.000181703,0.000181703
20,5904.48,0.67383,0.58777,0.98571,0.94132,0.88415,0.94469,0.65597,1.05687,0.70143,1.19463,9.91865e-05,9.91865e-05,9.91865e-05
